customer_id,customer_name,customer_age,gender,region,customer_since,churn,frequency_of_purchases,preferred_payment_method,total_lifetime_spend
CUST100000,Rose Morris,45,Male,West,2023-05-13,0,9,Cash,9308.76
CUST100001,Taylor Morgan,51,Female,Central,2022-05-23,0,22,Debit Card,19919.98
CUST100002,Michael Rojas,53,Other,West,2021-07-19,0,24,Cash,16570.89
CUST100003,John Woodward,41,Other,East,2020-10-04,0,14,Bank Transfer,11991.91
CUST100004,Lisa Adkins,71,Male,North,2020-12-24,0,5,Debit Card,1940.07
CUST100005,Kathleen Hall,18,Male,South,2021-06-05,0,17,Cash,11186.95
CUST100006,Heather Dorsey,70,Male,South,2021-06-02,0,7,PayPal,5344.47
CUST100007,Nicholas Knight,74,Female,North,2023-04-16,0,16,Bank Transfer,17575.99
CUST100008,Margaret Casey,38,Female,East,2021-11-02,0,16,Credit Card,14133.5
CUST100009,Nathan Dudley,42,Female,South,2021-09-14,0,3,Bank Transfer,3358.8199999999997
CUST100010,Karen Wood,49,Female,East,2020-01-14,0,17,Bank Transfer,13155.67
CUST100011,Cassandra Mack,27,Female,Central,2020-09-27,0,15,Bank Transfer,8617.880000000001
CUST100012,Jonathon Calderon,18,Male,East,2022-12-29,0,4,Credit Card,3378.71
CUST100013,Mandy Chavez,31,Male,Central,2020-09-19,0,20,Bank Transfer,14325.32
CUST100014,Rebecca Baird,35,Female,Central,2022-07-17,0,19,Debit Card,13134.9
CUST100015,Michelle Bush,57,Male,Central,2020-12-26,0,20,Cash,17056.16
CUST100016,Anthony Buckley,40,Female,East,2020-03-22,0,19,Debit Card,13103.68
CUST100017,Jennifer Hamilton,22,Female,North,2020-09-15,0,25,Bank Transfer,20351.37
CUST100018,Kim Peterson,27,Female,South,2020-02-25,0,13,PayPal,10064.83
CUST100019,Joseph Casey,55,Male,North,2022-11-20,0,14,Bank Transfer,11257.92
CUST100020,Gail Carlson,49,Other,South,2023-04-08,0,13,Cash,11254.39
CUST100021,Megan Thomas,62,Female,North,2021-05-16,0,10,Debit Card,6959.49
CUST100022,Michelle Pitts,20,Other,North,2023-09-25,0,8,Debit Card,4856.26
CUST100023,Victor Gonzalez,71,Female,Central,2023-05-02,0,2,Debit Card,2432.34
CUST100024,Dana Ortiz,52,Female,South,2021-04-28,0,18,PayPal,18817.37
CUST100025,Dawn Allen,33,Female,Central,2022-02-22,0,4,Bank Transfer,3687.21
CUST100026,Patrick Silva,29,Male,South,2022-07-08,0,13,Bank Transfer,8370.67
CUST100027,Sherry Smith,55,Male,South,2021-05-11,0,15,Bank Transfer,12800.34
CUST100028,Eric Miller,56,Female,North,2020-03-01,0,19,Credit Card,12395.96
CUST100029,Gregory Weber,61,Other,East,2022-05-20,0,16,Cash,6277.37
CUST100030,Cynthia Butler,60,Female,Central,2023-05-29,1,13,Bank Transfer,11268.58
CUST100031,Teresa Harvey,58,Other,North,2020-09-26,0,15,Bank Transfer,9348.03
